,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
1220,Antiviral Agent Therapy Optimization in Special Populations of COVID-19 Patients,"Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is now a global outbreak of disease. The antiviral treatment acts as one of the most important means of SARS-CoV-2 infection. Alteration of physiological characteristics in special populations may lead to the change in drug pharmacokinetics, which may result in treatment failure or increased adverse drug reactions. Some potential drugs have shown antiviral effects on SARS-CoV-2 infections, such as chloroquine, hydroxychloroquine, favipiravir, lopinavir/ritonavir, arbidol, interferon alpha, and remedsivir. Here, we reviewed the literature on clinical effects in COVID-19 patients of these antiviral agents and provided the potential antiviral agent options for pregnant women, elderly patients, liver or renal dysfunction patients, and severe or critically ill patients receiving renal replacement therapy or ECMO after SARS-CoV-2 infection.",-,-,_,-,_,10.2147/DDDT.S259058,,,"['chloroquine', 'hydroxychloroquine']",-
1221,Successful recovery of recurrence of positive SARS-CoV-2 RNA in COVID-19 patient with systemic lupus erythematosus: a case report and review,"COVID-19 has become a global concern. A large number of reports have explained the clinical characteristics and treatment strategies of COVID-19, but the characteristics and treatment of COVID-19 patient with systemic lupus erythematosus (SLE) are still unclear. Here, we report the clinical features and treatment of the first SLE patient with confirmed COVID-19 pneumonia. This was a 39-year-old woman, diagnosed with SLE 15 years ago, whose overall clinical characteristics (symptoms, laboratory tests, and chest CTs) were similar to those of the general COVID-19 patients. She continued to take the previous SLE drugs (doses of glucocorticoids, hydroxychloroquine, and immunosuppressive agents were not reduced) and was treated with strict antiviral and infection prevention treatment. After the first discharge, she got a recurrence of COVID-19 during her home isolation, and then returned to hospital and continued the previous therapy. Finally, this long-term immune suppressive patient's COVID-19 was successfully cured. The successful recovery of this case has significant reference value for the future treatment of COVID-19 patients with SLE. Key Points • COVID-19 patients with SLE is advocated to continue the medical treatment for SLE. • Hydroxychloroquine may have potential benefits for COVID-19 patients with SLE. • COVID-19 patients with SLE is prone to relapse, and multiple follow-ups are necessary.",-,-,_,-,_,https://pesquisa.bvsalud.org/controlecancer/resource/pt/mdl-32725351,['hydroxychloroquine'],,,-
1232,BCG vaccination policy and preventive chloroquine usage: do they have an impact on COVID-19 pandemic?,"Coronavirus disease 2019 (COVID-19) is a severe acute respiratory syndrome caused by Coronavirus 2 (SARS-CoV-2). In the light of its rapid global spreading, on 11 March 2020, the World Health Organization has declared it a pandemic. Interestingly, the global spreading of the disease is not uniform, but has so far left some countries relatively less affected. The reason(s) for this anomalous behavior are not fully understood, but distinct hypotheses have been proposed. Here we discuss the plausibility of two of them: the universal vaccination with Bacillus Calmette-Guerin (BCG) and the widespread use of the antimalarial drug chloroquine (CQ). Both have been amply discussed in the recent literature with positive and negative conclusions: we felt that a comprehensive presentation of the data available on them would be useful. The analysis of data for countries with over 1000 reported COVID-19 cases has shown that the incidence and mortality were higher in countries in which BCG vaccination is either absent or has been discontinued, as compared with the countries with universal vaccination. We have performed a similar analysis of the data available for CQ, a widely used drug in the African continent and in other countries in which malaria is endemic; we discuss it here because CQ has been used as the drug to treat COVID-19 patients. Several African countries no longer recommend it officially for the fight against malaria, due to the development of resistance to Plasmodium, but its use across the continent is still diffuse. Taken together, the data in the literature have led to the suggestion of a possible inverse correlation between BCG immunization and COVID-19 disease incidence and severity.",-,-,_,-,_,10.1038/s41419-020-2720-9,,['chloroquine'],,-
1233,Early Hydroxychloroquine Administration for Rapid Severe Acute Respiratory Syndrome Coronavirus 2 Eradication,"There are no proven therapeutics for Coronavirus disease 2019 (COVID-19) pneumonia outbreak. We observed and analyzed the clinical efficacy of the most used hydroxychloroquine (HCQ) for 30 days. In this study, administration of HCQ <5 days from diagnosis (odds ratio: 0.111, 95% confidence interval: 0.034 - 0.367, ",-,-,_,-,_,PUBMED_ID:32757497/,,['hydroxychloroquine'],,-
1235,Low-Dose Subcutaneous Tocilizumab to Prevent Disease Progression in Patients with Moderate COVID-19 Pneumonia and Hyperinflammation,Low-dose subcutaneous TCZ may be a safe and promising therapeutic option administered on top of SOC to prevent disease progression in hospitalised patients with moderate COVID-19 and hyperinflammation.,-,-,_,-,_,https://www.ijidonline.com/article/S1201-9712(20)30616-0/fulltext,['tocilizumab'],,,-
1247,The Potential Vaccine Component for COVID-19: A Comprehensive Review of Global Vaccine Development Efforts,"The whole world is concerned about the pandemic of coronavirus disease (COVID-19), caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), due to fatality of this condition. This has become a public health emergency of international concern. No specific vaccine and medicine have proven effective in large-sized trials at this time. With the rapidly increasing number of positive cases and deaths, there is a dire need for effective treatments and an effective vaccine for prevention. An urgent unmet need led to the planning and opening of multiple drug development trials for treatment and vaccine development. In this article, we have summarized data on cell receptor interactions and data on prospects of new vaccines targeting the deoxyribonucleic acid (DNA), messenger ribonucleic acid (mRNA), and viral minigenes. We have tabulated the available data on various clinical trials testing various aspects of COVID-19 vaccines.",-,-,_,-,_,https://www.cureus.com/articles/34785-the-potential-vaccine-component-for-covid-19-a-comprehensive-review-of-global-vaccine-development-efforts,,,['vaccine'],-
1253,Administration of Immunoglobulins in SARS-CoV-2-Positive Patient Is Associated With Fast Clinical and Radiological Healing: Case Report,"Polyclonal preparation of IgM as an adjuvant therapy has been reported as a relevant immunomodulant therapy in several infectious diseases, exhibiting, in most cases, improvement of the clinical course. No drug has demonstrated therapeutic efficacy for COVID-19. Immunomodulatory treatment with hydroxychloroquine and biologics as tocilizumab, in fact, has not proven to show satisfactory results in several reports. We therefore treated a selected patient with interstitial multifocal pneumonia, positive to COVID-19, with polyclonal preparation of immunoglobulins as an adjuvant therapy, obtaining in few days clinical remission and improvements in radiological findings. Based on this case report, we suggest that clinical trials are conducted to test the efficacy and safety of polyclonal immunoglobulins for adjunctive therapy of COVID-19.",-,-,_,-,_,https://www.frontiersin.org/article/10.3389/fmed.2020.00388,"['hydroxychloroquine', 'tocilizumab']",,,-
1255,The characteristics and outcomes of 681 severe cases with COVID-19 in China.,"The combination of NLR and acute myocardial injury on admission was highly predictive of mortality and survival. Clinicians should adopt more aggressive strategies for patients with a high NLR (>6.66) combined with myocardial injury. β-blockers and ACEI/ARB, as well as arbidol and ribavirin, were effective in COVID-19 patients with cardiovascular disease.",-,-,_,-,_,10.1016/j.jcrc.2020.07.003,['ribavirin'],,,-
1257,"No Statistically Apparent Difference in Antiviral Effectiveness Observed Among Ribavirin Plus Interferon-Alpha, Lopinavir/Ritonavir Plus Interferon-Alpha, and Ribavirin Plus Lopinavir/Ritonavir Plus Interferon-Alpha in Patients With Mild to Moderate Coronavirus Disease 2019: Results of a Randomized, Open-Labeled Prospective Study","www.ClinicalTrials.gov, ID: ChiCTR2000029387. Registered on January 28, 2019.",-,-,_,-,_,10.3389/fphar.2020.01071/full,,['ribavirin'],,-
1263,"Corticosteroid, oseltamivir, and delayed admission are independent risk factors for prolonged viral shedding in patients with Coronavirus Disease 2019","Symptoms of patients from Tianmen are relatively mild. Treatment should be started as early as possible, but corticosteroid and oseltamivir should be initiated with caution. In addition, clinical trials on arbidol should be conducted to demonstrate its effectiveness.",-,-,_,-,_,10.1111/crj.13243,,['oseltamivir'],,-
1268,Acute QT Interval Modifications During Hydroxychloroquine-Azithromycin Treatment in the Context of COVID-19 Infection,"Among candidate drugs to treat coronavirus disease 2019 (COVID-19), the combination of hydroxychloroquine (HCQ) and azithromycin (AZ) has received intense worldwide attention. Even as the efficacy of this combination is under evaluation, clinicians have begun to use it largely. As these medications are known to prolong the QT interval, we analyzed serial electrocardiograms recorded in patients hospitalized for COVID-19 pneumonia and treated with HCQ + AZ. Fifty consecutive patients received the combination of HCQ (600 mg/d for 10 days) and AZ (500 mg/d on day 1 and 250 mg/d from day 2 to day 5). Twelve-lead electrocardiograms were recorded before treatment, at day 3, at day 5, and at discharge. The median age of patients was 68 years (interquartile range, 53-81 years); 28 (56%) were men. The main comorbidities were hypertension (36%; n=18) and diabetes (16%; n=8). The mean corrected QT (QTc) interval was 408 ms at baseline and increased up to 437 ms at day 3 and to 456 ms at day 5. Thirty-eight patients (76%) presented short-term modifications of the QTc duration (>30 ms). Treatment discontinuation was decided in 6 patients (12%), leading to QTc normalization in 5 of them. No deaths and no cardiac arrhythmic events were observed in this cohort. Our report confirms that a short duration treatment with HCQ + AZ modifies the QTc interval. The treatment had to be discontinued for QTc modifications in 12% of patients. Nevertheless, in inpatients hospitalized for COVID-19, we did not observe any clinically relevant consequences of these transitory modifications. In conclusion, when patients are treated with HCQ + AZ, cardiac monitoring should be regularly performed and hospital settings allow monitoring under in safe conditions.",-,-,_,-,_,10.1016/j.mayocp.2020.05.005,"['hydroxychloroquine', 'azithromycin']",,,-
1273,Tocilizumab shortens time on mechanical ventilation and length of hospital stay in patients with severe COVID-19: a retrospective cohort study,Treatment with COX-2 inhibitors was not associated with an increase in adverse outcomes. Its potential for therapeutic use as an immune modulator warrants further evaluation in a large randomised controlled trial.,-,-,_,-,_,10.1111/joim.13162,,['tocilizumab'],,-
1277,Anti-Inflammatory Properties of Drugs Used to Control COVID-19 and their Effects on the Renin-Angiotensin System and Angiotensin-Converting Enzyme-2,"COVID-19 infection is associated with systemic inflammation, and sometimes hyperinflammatory responses with cytokine storm. This plays a major role in COVID-19 severity and poor disease prognosis, even death. Higher levels of inflammatory hallmarks including C-reactive protein, ferritin, D-dimers, and cytokines such as interleukin (IL) -6, IL-10 and tumor necrosis factor- α (TNF-α) have been reported. Many anti-viral drugs have been tried, but none were proven fully effective. Supportive care and management of the complications that are caused mainly by inflammation might be the key to greater survival rates and shorter hospitalization (e.g., the use of remdesivir, lopinavir, ritonavir, umifenovir (arbidol), oseltamivir, ganciclovir, favipiravir, darunavir, hydroxychloroquine, chloroquine, colchicine, azithromycin, anakinra, canakinumab, tocilizumab, siltuximab, sarilumab, Type 1 interferon, interferon β-1a, interferon α- 2b, baricitinib, ruxolitinib, fedratinib, methylprednisolone and dexamethasone). However, the efficacy of these treatments still needs well-planned clinical trials. In such trials, careful attention must be paid to the duration of the treatment, the onset of beneficial effects, and the severity of the disease, otherwise, the outcomes may still remain inconclusive. Herein, we present a review of the current drugs, which are being used in the management of the disease and their anti-inflammatory properties. We also investigated if these drugs directly interact with Angiotensin-Converting Enzyme (ACE 2), which is a crucial component of the virus entry to the cells.",-,-,_,-,_,https://journals.library.ualberta.ca/jpps/index.php/JPPS/article/view/31346,,,"['remdesivir', 'lopinavir', 'ritonavir', 'oseltamivir', 'ganciclovir', 'darunavir', 'hydroxychloroquine', 'chloroquine', 'colchicine', 'azithromycin', 'anakinra', 'canakinumab', 'tocilizumab', 'siltuximab', 'sarilumab', 'baricitinib', 'ruxolitinib', 'fedratinib', 'methylprednisolone']",-
1280,Anakinra for the Treatment of COVID-19-Associated Pericarditis: A Case Report,"The Shanghai panel, and a parallel medical group in Guangzhou, are advising the use of high-dose IV ascorbate for the treatment of ARDS, along with other supportive therapies, including Vitamin D and zinc. We report preliminary progress in using this treatment for 50 consecutive cases treated in Shanghai hospitals, consistent with earlier reports from a meta-analysis of the use of IV ascorbate to treat sepsis. We provide an instructive clinical anecdote regarding a single family where one elderly member with cardiac and other major comorbidities developed and survived ARDS-related sepsis following daily treatments that included 15 g of IV ascorbate. None of her adult caregivers who had ingested between 2 and 10 g of ascorbate daily developed COVID-19.",-,-,_,-,_,https://link.springer.com/article/10.1007/s10557-020-07044-3,['anakinra'],,,-
1286,"The Association of Interleukin-6 value, Interleukin inhibitors and Outcomes of Patients with COVID-19 in New York City","Since cytokine release syndrome with elevation of interleukin-6 (IL-6) is considered to be associated with severe cases of coronavirus disease 2019 (COVID-19); IL-6 inhibitors, such as tocilizumab, are expected to be effective for its treatment. This was a retrospective study using a consecutive cohort of 224 patients hospitalized with COVID-19 in March 2020. Patients were divided into those admitted to the intensive care unit (ICU group) and those not (no ICU group), and clinical data including usage of tocilizumab were compared. Correlation between IL-6 value at admission and at peak, and tocilizumab use, as well as clinical outcomes were also investigated. The ICU group had higher rates of pre-existing comorbidities such as hypertension, diabetes, and coronary disease, and higher IL-6 than no ICU group (all P < .05). Age, peak IL-6, and peak d-dimer were significant predictors of in-hospital mortality (1.05 [1.01-1.09], P = .012; 1.001 [1.000-1.002], P = .002; 1.10 [1.03-1.18], P = .008). Receiver operating characteristics curve showed higher predictability of in-hospital mortality with IL-6 at peak than others (area under curve; IL-6 at peak: 0.875 [0.87-0.942], IL-6 at admission: 0.794 [0.699-0.889], d-dimer at peak 0.787 [0.690-0.883], d-dimer at admission 0.726 [0.625-0.827]). Incidence of fungal infections was significantly higher in patients who were given tocilizumab than those who were not (13.0% vs 1.1%, P < .001). Notably, tocilizumab did not affect in-hospital mortality after adjustment including IL-6 (odds ratio [95% confidential interval]: 1.00 [0.27-3.72, P = .998]). Age, peak IL-6, and peak d-dimer levels were significant predictors of in-hospital mortality. Tocilizumab did not decrease in-hospital mortality in our cohort.",-,-,_,-,_,10.1002/jmv.26365,['tocilizumab'],,,-
1287,Risk of severe COVID-19 disease with ACE inhibitors and angiotensin receptor blockers: cohort study including 8.3 million people,"Since cytokine release syndrome with elevation of interleukin-6 (IL-6) is considered to be associated with severe cases of coronavirus disease 2019 (COVID-19); IL-6 inhibitors, such as tocilizumab, are expected to be effective for its treatment. This was a retrospective study using a consecutive cohort of 224 patients hospitalized with COVID-19 in March 2020. Patients were divided into those admitted to the intensive care unit (ICU group) and those not (no ICU group), and clinical data including usage of tocilizumab were compared. Correlation between IL-6 value at admission and at peak, and tocilizumab use, as well as clinical outcomes were also investigated. The ICU group had higher rates of pre-existing comorbidities such as hypertension, diabetes, and coronary disease, and higher IL-6 than no ICU group (all P < .05). Age, peak IL-6, and peak d-dimer were significant predictors of in-hospital mortality (1.05 [1.01-1.09], P = .012; 1.001 [1.000-1.002], P = .002; 1.10 [1.03-1.18], P = .008). Receiver operating characteristics curve showed higher predictability of in-hospital mortality with IL-6 at peak than others (area under curve; IL-6 at peak: 0.875 [0.87-0.942], IL-6 at admission: 0.794 [0.699-0.889], d-dimer at peak 0.787 [0.690-0.883], d-dimer at admission 0.726 [0.625-0.827]). Incidence of fungal infections was significantly higher in patients who were given tocilizumab than those who were not (13.0% vs 1.1%, P < .001). Notably, tocilizumab did not affect in-hospital mortality after adjustment including IL-6 (odds ratio [95% confidential interval]: 1.00 [0.27-3.72, P = .998]). Age, peak IL-6, and peak d-dimer levels were significant predictors of in-hospital mortality. Tocilizumab did not decrease in-hospital mortality in our cohort.",-,-,_,-,_,https://heart.bmj.com/content/heartjnl/early/2020/07/31/heartjnl-2020-317393.full.pdf,['tocilizumab'],,,-
1292,Remdesivir: A beacon of hope from Ebola virus disease to COVID-19,"Since the emergence of coronavirus disease 2019 (Covid-19), many studies have been performed to characterize severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and find the optimum way to combat this virus. After suggestions and assessments of several therapeutic options, remdesivir (GS-5734), a direct-acting antiviral drug previously tested against Ebola virus disease, was found to be moderately effective and probably safe for inhibiting SARS-CoV-2 replication. Finally, on 1 May 2020, remdesivir (GS-5734) was granted emergency use authorization as an investigational drug for the treatment of Covid-19 by the Food and Drug Administration. However, without a doubt, there are challenging days ahead. Here, we provide a review of the latest findings (based on preprints, post-prints, and news releases in scientific websites) related to remdesivir efficacy and safety for the treatment of Covid-19, along with covering remdesivir history from bench-to-bedside, as well as an overview of its mechanism of action. In addition, active clinical trials, as well as challenging issues related to the future of remdesivir in Covid-19, are covered. Up to the date of writing this review (19 May 2020), there is one finished randomized clinical trial and two completed non-randomized studies, in addition to some ongoing studies, including three observational studies, two expanded access studies, and seven active clinical trials registered on the clinicaltrials.gov and isrctn.com websites. Based on these studies, it seems that remdesivir could be an effective and probably safe treatment option for Covid-19. However, more randomized controlled studies are required.",-,-,_,-,_,10.1002/rmv.2133,['remdesivir'],,,-
1299,Hydroxychloroquine in COVID-19 Therapy: Protection Versus Proarrhythmia,"In recent months, the new coronavirus SARS-CoV-2 has emerged as a worldwide threat with about 4.2 million confirmed cases and almost 300 000 deaths. Its major clinical presentation is characterized by respiratory symptoms ranging from mild cough to serve pneumonia with fever and potentially even death. Until today, there is no known medication to improve clinical symptoms or even prevent or fight the infection. The search for a useful vaccination is ongoing and it will probably not be available before the end of 2020. In this review, we highlight hydroxychloroquine (HCQ) as a potential agent to prevent coronavirus disease 2019 (COVID-19) and reduce as well as shorten clinical symptoms. Moreover, it might serve as a potential post-exposition prophylaxis. Although it has been used in the treatment of rheumatoid arthritis, discoid or systemic lupus erythematosus, and malaria prophylaxis and therapy for decades, knowledge on HCQ as a potential treatment for COVID-19 is limited and multiple clinical trials have just emerged. Especially, rare HCQ side effects which were of minor importance for use in selected indications might gain major relevance with population-wide application. These rare side effects include retinopathy and-even more important-QT prolongation leading to sudden cardiac death by malignant arrhythmias.",-,-,_,-,_,10.1177/1074248420935740,,,"['hydroxychloroquine', 'today']",-
1303,Historically controlled comparison of glucocorticoids with or without tocilizumab versus supportive care only in patients with COVID-19-associated cytokine storm syndrome: results of the CHIC study,"Thrombosis with thrombocytopenia syndrome (TTS) induced by the coronavirus disease 2019 vaccine is characterized by thrombocytopenia and thrombosis. Positivity for the anti-platelet factor 4-antibody is related to TTS pathophysiology, similar to heparin-induced thrombocytopenia. Although TTS is very rare, with an incidence of almost 1/100,000 cases, physicians need to keep in mind this adverse reaction that can lead to serious symptoms and death. Prompt treatment should be initiated in cases of suspected TTS.",-,-,_,-,_,https://ard.bmj.com/content/early/2020/07/20/annrheumdis-2020-218479.citation-tools,"['tocilizumab', 'vaccine']",,,-
1304,Interleukin-6 receptor blocking with intravenous tocilizumab in COVID-19 severe acute respiratory distress syndrome: A retrospective case-control survival analysis of 128 patients,"In cases of COVID-19 acute respiratory distress syndrome, an excessive host inflammatory response has been reported, with elevated serum interleukin-6 levels. In this multicenter retrospective cohort study we included adult patients with COVID-19, need of respiratory support, and elevated C-reactive protein who received intravenous tocilizumab in addition to standard of care. Control patients not receiving tocilizumab were matched for sex, age and respiratory support. We selected survival as the primary endpoint, along with need for invasive ventilation, thrombosis, hemorrhage, and infections as secondary endpoints at 30 days. We included 64 patients with COVID-19 in the tocilizumab group and 64 matched controls. At baseline the tocilizumab group had longer symptom duration (13 ± 5 vs. 9 ± 5 days) and received hydroxychloroquine more often than controls (100% vs. 81%). The mortality rate was similar between groups (27% with tocilizumab vs. 38%) and at multivariable analysis risk of death was not significantly influenced by tocilizumab (hazard ratio 0.61, 95% confidence interval 0.33-1.15), while being associated with the use at baseline of non invasive mechanical or invasive ventilation, and the presence of comorbidities. Among secondary outcomes, tocilizumab was associated with a lower probability of requiring invasive ventilation (hazard ratio 0.36, 95% confidence interval 0.16-0.83; P = 0.017) but not with the risk of thrombosis, bleeding, or infections. The use of intravenous tocilizumab was not associated with changes in 30-day mortality in patients with COVID-19 severe respiratory impairment. Among the secondary outcomes there was less use of invasive ventilation in the tocilizumab group.",-,-,_,-,_,10.1016/j.jaut.2020.102511,,['tocilizumab'],['hydroxychloroquine'],-
1313,Tocilizumab improves survival in patients with persistent hypoxia in severe COVID-19 pneumonia,"Tocilizumab may improve survival in severe COVID-19 pneumonia with persistent hypoxia. Randomised controlled trials on use of tocilizumab as rescue therapy in patients of severe COVID-19 pneumonia with hypoxia (PaO2/FiO2 less than 200) due to hyperinflammatory state, are warranted.",-,-,_,-,_,10.1016/j.eclinm.2020.100467,['tocilizumab'],,,-
1316,Tocilizumab for severe COVID-19: a systematic review and meta-analysis,"In comparison to SOC or placebo, TCZ reduced all-cause mortality in all studies and reduced mechanical ventilation and length of stay in RCTs in hospitalized COVID-19 patients. Other clinical outcomes were not significantly impacted. TCZ did not have effect on AEs, except a significant increased neutropenia risk in RCTs. TCZ has a potential role in the treatment of hospitalized COVID-19 patients.",-,-,_,-,_,http://www.sciencedirect.com/science/article/pii/S0924857920302867,,['tocilizumab'],,-
1320,Successful treatment of two Japanese ESRD cases with severe COVID‐19 pneumonia,"Novel coronavirus disease 2019 (COVID-19) is a highly infectious and deadly disease, spreading worldwide. There are limited data about the clinical course of end-stage renal disease (ESRD) patients infected with COVID-19. However, previous cohort studies showed a high mortality rate of ESRD patients infected with COVID-19. We report here two Japanese ESRD patients confirmed with severe COVID-19 pneumonia. Case 1 was a 60-year-old man with ESRD due to diabetic nephropathy who were infected with COVID-19 and exhibited acute respiratory distress syndrome (ARDS) requiring mechanical ventilation and intensive care unit (ICU) admission. He was treated with tocilizumab and intravenous immunoglobulin (IVIG). After 6 days of treatment in ICU, he was extubated. Case 2 was a 68-year-old woman undergoing maintenance hemodialysis for 17 years who also exhibited ARDS due to COVID-19. Her clinical course resembles case 1. Our experience of these two cases indicates that anti-cytokine therapy might be effective for severe COVID-19 pneumonia in ESRD patients.",-,-,_,-,_,10.1007/s13730-020-00512-7,,,['tocilizumab'],-
1321,COVID-19 and multiple sclerosis: a description of two cases on alemtuzumab,"In selected patients (young, without comorbidities, and with high activity), MS itself could be more dangerous than COVID-19, so we should consider continuing MS treatment as previously planned, including alemtuzumab.",-,-,_,-,_,10.1016/j.msard.2020.102402,,['alemtuzumab'],,-
1324,Unusual Early Recovery of a Critical COVID-19 Patient After Administration of Intravenous Vitamin C,"BACKGROUND Coronavirus disease 2019 (COVID-19) continues to spread, with confirmed cases now in more than 200 countries. Thus far there are no proven therapeutic options to treat COVID-19. We report a case of COVID-19 with acute respiratory distress syndrome who was treated with high-dose vitamin C infusion and was the first case to have early recovery from the disease at our institute. CASE REPORT A 74-year-old woman with no recent sick contacts or travel history presented with fever, cough, and shortness of breath. Her vital signs were normal except for oxygen saturation of 87% and bilateral rhonchi on lung auscultation. Chest radiography revealed air space opacity in the right upper lobe, suspicious for pneumonia. A nasopharyngeal swab for severe acute respiratory syndrome coronavirus-2 came back positive while the patient was in the airborne-isolation unit. Laboratory data showed lymphopenia and elevated lactate dehydrogenase, ferritin, and interleukin-6. The patient was initially started on oral hydroxychloroquine and azithromycin. On day 6, she developed ARDS and septic shock, for which mechanical ventilation and pressor support were started, along with infusion of high-dose intravenous vitamin C. The patient improved clinically and was able to be taken off mechanical ventilation within 5 days. CONCLUSIONS This report highlights the potential benefits of high-dose intravenous vitamin C in critically ill COVID-19 patients in terms of rapid recovery and shortened length of mechanical ventilation and ICU stay. Further studies will elaborate on the efficacy of intravenous vitamin C in critically ill COVID-19.",-,-,_,-,_,PUBMED_ID:32709838/,['oxygen'],,"['hydroxychloroquine', 'azithromycin']",-
1331,A systematic review on the efficacy and safety of IL-6 modulatory drugs in the treatment of COVID-19 patients,"The pandemic caused by the new SARS-CoV2 coronavirus has led to an effort to find treatments that are effective against this disease that the World Health Organization calls COVID-19. In severe cases of COVID-19, there is an increase in cytokines, among which IL-6 seems to play an important role. A search has been performed for studies using IL-6 blocking drugs (tocilizumab, siltuximab, and sarilumab) in PubMed, Web of Science, and Scopus. Also, a search of ongoing trials registered at clinicaltrials.gov was performed. We found very little published clinical experience with these drugs, consisting mainly of case reports or case series with few patients. The results of clinical trials are necessary to clarify the role of these drugs in patients with COVID-19.",-,-,_,-,_,https://www.europeanreview.org/article/21916,,['siltuximab'],,-
1334,Management of immunosuppression in kidney transplant recipients with COVID-19 pneumonia: A summary of 41 confirmed cases reported worldwide,"There is no consensus on immunosuppression management for kidney transplant recipients (KTRs) with SARS-CoV-2 pneumonia. Therefore, we conducted a search in English database from October 2019 to July 2020 and extracted data from cases with treatment details worldwide, and total of 41 recipients with a median age of 50 years were enrolled in this study. Most of them were males (75.8%). The most common presenting symptoms were fever (80.5%), cough (63.4%), and fatigue (41.5%). Patients were classified into three catalogs according to severity of pneumonia: 17 (41.5%) were mild, 15 (36.6%) severe, and 9 (21.9%) critical disease. Laboratory tests revealed that serum creatinine of critical patients was significantly higher than that of mild or severe patients. 68.3% received oxygen support; all patients received antiviral therapy, and 15 (36.6%) recipients were additionally treated with intravenous immunoglobulin and interferon-α. 19.5% of patients maintained immunosuppressive therapy; 36.6% suspended antimetabolite; and 43.9% only treated with corticosteroid. Six (14.6%) patients died (severe: 2, critical: 4); high creatinine with low lymphocyte count was the biggest challenge of immunosuppression management. In all, it is necessary to pay close attention to renal function and lymphocyte count in KTRs infected with COVID-19 and choose appropriate medication programs according to the specific situations.",-,-,_,-,_,10.1111/tid.13425,['oxygen'],,,-
1338,"As the COVID-19 pandemic drags on, where have all the STEMIs gone?","There is no consensus on immunosuppression management for kidney transplant recipients (KTRs) with SARS-CoV-2 pneumonia. Therefore, we conducted a search in English database from October 2019 to July 2020 and extracted data from cases with treatment details worldwide, and total of 41 recipients with a median age of 50 years were enrolled in this study. Most of them were males (75.8%). The most common presenting symptoms were fever (80.5%), cough (63.4%), and fatigue (41.5%). Patients were classified into three catalogs according to severity of pneumonia: 17 (41.5%) were mild, 15 (36.6%) severe, and 9 (21.9%) critical disease. Laboratory tests revealed that serum creatinine of critical patients was significantly higher than that of mild or severe patients. 68.3% received oxygen support; all patients received antiviral therapy, and 15 (36.6%) recipients were additionally treated with intravenous immunoglobulin and interferon-α. 19.5% of patients maintained immunosuppressive therapy; 36.6% suspended antimetabolite; and 43.9% only treated with corticosteroid. Six (14.6%) patients died (severe: 2, critical: 4); high creatinine with low lymphocyte count was the biggest challenge of immunosuppression management. In all, it is necessary to pay close attention to renal function and lymphocyte count in KTRs infected with COVID-19 and choose appropriate medication programs according to the specific situations.",-,-,_,-,_,10.1016/j.ijcha.2020.100550,['oxygen'],,,-
1339,"Safety, tolerability, and clinical outcomes of hydroxychloroquine for hospitalized patients with coronavirus 2019 disease","HCQ appears to be reasonably safe and tolerable in most hospitalized patients with COVID-19. However, nearly one-half of patients did not improve with this treatment, highlighting the need to evaluate HCQ and alternate therapies in randomized trials.",-,-,_,-,_,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236778,['hydroxychloroquine'],,,-
1340,Experience with tocilizumab in severe COVID-19 pneumonia after 80 days of follow-up: A retrospective cohort study,"In a Mediterranean cohort, use of tocilizumab for severe COVID-19 show 12.9% of mortality. Early TCZ-response by BCRSS and low comorbidity were associated with increased survival. Early TCZ-response was related to shorter median hospital stay.",-,-,_,-,_,10.1016/j.jaut.2020.102523,,['tocilizumab'],,-
1341,Neuromuscular blocking agents (NMBA) for COVID-19 acute respiratory distress syndrome: a multicenter observational study,"In a Mediterranean cohort, use of tocilizumab for severe COVID-19 show 12.9% of mortality. Early TCZ-response by BCRSS and low comorbidity were associated with increased survival. Early TCZ-response was related to shorter median hospital stay.",-,-,_,-,_,10.1186/s13054-020-03164-2,,['tocilizumab'],,-
1342,Early IL-1 receptor blockade in severe inflammatory respiratory failure complicating COVID-19,"In a Mediterranean cohort, use of tocilizumab for severe COVID-19 show 12.9% of mortality. Early TCZ-response by BCRSS and low comorbidity were associated with increased survival. Early TCZ-response was related to shorter median hospital stay.",-,-,_,-,_,http://www.pnas.org/content/early/2020/07/21/2009017117.abstract,,['tocilizumab'],,-
