TECNOLOGIA	Título
Vacinas	DRAFT landscape of COVID-19 candidate vaccines - 9 June 2020
Terapia celular	Mesenchymal stem cell therapy for acute respiratory distress syndrome: from basic to clinics.
Heparina	Heparin as a Therapy for COVID-19: Current Evidence and Future Possibilities.
Amoxicilina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Azitromicina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Betametasona	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Ceftriaxona	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Cloroquina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Estatina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Heparina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Hidroxicloroquina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Interferon	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Lopinavir	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Metformina	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Pioglitazona	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Plasma convalescente	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Remdesivir	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Ritonavir	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Tocilizumabe	Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review
Plasma convalescente	Early experience with convalescent plasma as immunotherapy for COVID-19 in China: Knowns and unknowns.
Heparina	Thromboprophylaxis in a patient with COVID-19 and severe hemophilia A on emicizumab prophylaxis.
Benralizumabe	COVID-19 in a severe eosinophilic asthmatic receiving benralizumab – a case study.
Zinco	Treatment of SARS-CoV-2 with high dose oral zinc salts: A report on four patients
Ruxolitinibe	The Janus kinase 1/2 inhibitor ruxolitinib in COVID-19 with severe systemic hyperinflammation
Antibióticos	Clinical characteristics of 182 pediatric COVID-19 patients with different severities and allergic status.
Interferon alfa	Clinical characteristics of 182 pediatric COVID-19 patients with different severities and allergic status.
Medicina Tradicional Chinesa	Clinical characteristics of 182 pediatric COVID-19 patients with different severities and allergic status.
Imunoglobulina	Effectiveness of intravenous immunoglobulin for children with severe COVID-19: a rapid review.
Antibióticos	Efficacy and Safety of Antibiotic Agents in Children with COVID-19: A Rapid Review.
Hidroxicloroquina	Does Adding of Hydroxychloroquine to the Standard Care Provide any Benefit in Reducing the Mortality among COVID-19 Patients?: a Systematic Review.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Mortality and use of angiotensin converting enzyme inhibitors in Covid 19 disease – a systematic review.
Agentes para tratamento da insuficiência venosa	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Agentes para tratamento da insuficiência venosa	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Anti-inflamatórios	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Anti-inflamatórios	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antibióticos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antibióticos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Anticoagulantes	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Anticoagulantes	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antimaláricos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antimaláricos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antineoplásicos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antineoplásicos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antirretrovirais	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antirretrovirais	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antirreumáticos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Antirreumáticos	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Carrimicina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Carrimicina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Cloroquina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Cloroquina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Danoprevir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Danoprevir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Hidroxicloroquina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Hidroxicloroquina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Inibidor da fosfodiesterase	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Inibidor da fosfodiesterase	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Lopinavir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Lopinavir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Remdesivir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Remdesivir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Ritonavir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Ritonavir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Sedativo-hipnótico	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Sedativo-hipnótico	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Tetrandrina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Tetrandrina	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Umifenovir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Umifenovir	The potential of drug repositioning as a short-term strategy for the control and treatment of COVID-19 (SARS-CoV-2): a systematic review.
Terapia celular	MSC Therapies for COVID-19: Importance of Patient Coagulopathy, Thromboprophylaxis, Cell Product Quality and Mode of Delivery for Treatment Safety and Efficacy.
Heparina	COVID-19 related coagulopathy: a distinct entity?
Vacina ChAdOx1 nCoV-19	The Current Update of Vaccines for SARS-CoV-2.
Vacina Curevac	The Current Update of Vaccines for SARS-CoV-2.
Vacina de adenovírus	The Current Update of Vaccines for SARS-CoV-2.
Vacina de DNA	The Current Update of Vaccines for SARS-CoV-2.
Vacina de RNA	The Current Update of Vaccines for SARS-CoV-2.
Vacina INO-4800	The Current Update of Vaccines for SARS-CoV-2.
Vacina mRNA-1273	The Current Update of Vaccines for SARS-CoV-2.
Vacina NVX-CoV2373	The Current Update of Vaccines for SARS-CoV-2.
Corticosteroides	A case of Bacillus cereus bacteremia in a COVID-19 patient treated with steroids.
Argatrobana	Anticoagulation with Argatroban in patients with acute antithrombin deficiency in severe COVID -19.
Tocilizumabe	Effect of tocilizumab in hospitalized patients with severe pneumonia COVID-19: a cohort study.
Tocilizumabe	Higher levels of IL-6 early after tocilizumab distinguish survivors from non-survivors in COVID-19 pneumonia: a possible indication for deeper targeting IL-6.
Interferon alfa	Therapeutic effectiveness of interferon-alpha 2b against COVID-19: the Cuban experience.
Tocilizumabe	Effects of Tocilizumab on Mortality in Hospitalized Patients with COVID-19: A Multicenter Cohort Study.
Anti-inflamatórios não esteroidais	Adverse outcomes and mortality in users of non-steroidal anti-inflammatory drugs tested positive for SARS-CoV-2: a danish nationwide cohort study.
Nitazoxanida	Nitazoxanida no tratamento de covid-19. Revisão sistemática rápida.
Vacina	COVID-19 vaccine development pipeline gears up.
Agentes anti-interleucinas	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Agentes anti-interleucinas	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Agentes anti-interleucinas	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anti-inflamatórios	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anti-inflamatórios	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anti-inflamatórios	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anticoagulantes	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anticoagulantes	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anticoagulantes	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antiplaquetários	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antiplaquetários	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antiplaquetários	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antivirais	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antivirais	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Antivirais	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Imunomoduladores	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Imunomoduladores	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Imunomoduladores	Diagnosis and management of the drug hypersensitivity reactions in coronavirus disease 19
Anakinra	Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2.
Corticosteroides	Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2.
Imunoglobulina	Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2.
Infliximabe	Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2.
Corticosteroides	Multisystem Inflammatory Syndrome Related to COVID-19 in Previously Healthy Children and Adolescents in New York City
Imunoglobulina	Multisystem Inflammatory Syndrome Related to COVID-19 in Previously Healthy Children and Adolescents in New York City
Tocilizumabe	Multisystem Inflammatory Syndrome Related to COVID-19 in Previously Healthy Children and Adolescents in New York City
Antagonistas do Receptor da Angiotensina II	Use of RAAS inhibitors and risk of clinical deterioration in COVID-19: results from an Italian cohort of 133 hypertensives.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Use of RAAS inhibitors and risk of clinical deterioration in COVID-19: results from an Italian cohort of 133 hypertensives.
Tocilizumabe	Tocilizumab as a Therapeutic Agent for Critically Ill Patients Infected with SARS-CoV-2.
Vitamina D (25-hidroxivitamina D)	Association of Vitamin D Deficiency and Treatment with COVID-19 Incidence.
Umifenovir	A study on clinical effect of Arbidol combined with adjuvant therapy on COVID‐19.
Almitrina	Efficacy of Almitrine in The Treatment of Hypoxemia in Sars-Cov-2 Acute Respiratory Distress Syndrome
Azitromicina	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Corticosteroides	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Hidroxicloroquina	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Interferon	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Lopinavir	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Moxifloxacina	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Oseltamivir	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Remdesivir	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Ribavirina	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Ritonavir	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Umifenovir	Tobaiqy M, Helmi N, Majrashi M, Majrashi M, Al-Dahery S, Mujallad A. COVID-19 therapeutics outcome: systematic review and data analysis. Research Square. 2020. Disponível em: https://doi.org/10.21203/rs.3.rs-33391/v1
Cloroquina	Assessment of Hydroxychloroquine and Chloroquine Safety Profiles – A Systematic Review and Meta-Analysis.
Hidroxicloroquina	Assessment of Hydroxychloroquine and Chloroquine Safety Profiles – A Systematic Review and Meta-Analysis.
Antagonistas do Receptor da Angiotensina II	Association of Renin-Angiotensin-Aldosterone System Inhibition with Risk of COVID-19, Inflammation Level, Severity and Death in Patients With COVID-19: A Rapid Systematic Review and Meta-Analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association of Renin-Angiotensin-Aldosterone System Inhibition with Risk of COVID-19, Inflammation Level, Severity and Death in Patients With COVID-19: A Rapid Systematic Review and Meta-Analysis.
Tocilizumabe	Tocilizumabe para infecção por SARS-CoV-2 (COVID-19) Revisão sistemática rápida.
Antagonistas do Receptor da Angiotensina II	Association Between ACEIs or ARBs Use and Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-analysis.
Antagonistas do Receptor da Angiotensina II	Association Between ACEIs or ARBs Use and Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association Between ACEIs or ARBs Use and Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association Between ACEIs or ARBs Use and Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-analysis.
Cobre	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Cobre	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Colchicina	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Colchicina	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Molnupiravir	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Molnupiravir	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
N-acetilcisteína	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
N-acetilcisteína	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Óxido nítrico	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Óxido nítrico	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Remdesivir	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Remdesivir	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.
Danoprevir	A comparative study on the time to achieve negative nucleic acid testing and hospital stays between Danoprevir and Lopinavir/Ritonavir in the treatment of patients with COVID-19.
Lopinavir	A comparative study on the time to achieve negative nucleic acid testing and hospital stays between Danoprevir and Lopinavir/Ritonavir in the treatment of patients with COVID-19.
Ritonavir	A comparative study on the time to achieve negative nucleic acid testing and hospital stays between Danoprevir and Lopinavir/Ritonavir in the treatment of patients with COVID-19.
Interferon alfa	Combination antiviral therapy with lopinavir/ritonavir, arbidol and interferon-α1b for COVID-19
Lopinavir	Combination antiviral therapy with lopinavir/ritonavir, arbidol and interferon-α1b for COVID-19
Ritonavir	Combination antiviral therapy with lopinavir/ritonavir, arbidol and interferon-α1b for COVID-19
Umifenovir	Combination antiviral therapy with lopinavir/ritonavir, arbidol and interferon-α1b for COVID-19
Cloroquina	Tocilizumab in the treatment of a critical COVID-19 patient: a case report.
Gamaglobulina	Tocilizumab in the treatment of a critical COVID-19 patient: a case report.
Prednisona	Tocilizumab in the treatment of a critical COVID-19 patient: a case report.
Tocilizumabe	Tocilizumab in the treatment of a critical COVID-19 patient: a case report.
Umifenovir	Tocilizumab in the treatment of a critical COVID-19 patient: a case report.
Prednisolona	High‐dose, short‐term corticosteroids for ARDS caused by COVID‐19: a case series. Respirology Case Reports.
Prednisona	High‐dose, short‐term corticosteroids for ARDS caused by COVID‐19: a case series. Respirology Case Reports.
Tocilizumabe	Case series of six kidney transplanted patients with COVID-19 pneumonia treated with tocilizumab.
Famotidina	Famotidine use and quantitative symptom tracking for COVID-19 in non- hospitalised patients: a case series.
Famotidina	Famotidine use and quantitative symptom tracking for COVID-19 in non- hospitalised patients: a case series.
Imunoglobulina	Severe exacerbation of immune thrombocytopenia and COVID-19: the favorable response to corticosteroid-based therapy—a case report.
Prednisona	Severe exacerbation of immune thrombocytopenia and COVID-19: the favorable response to corticosteroid-based therapy—a case report.
Umifenovir	Severe exacerbation of immune thrombocytopenia and COVID-19: the favorable response to corticosteroid-based therapy—a case report.
Tocilizumabe	Tocilizumab administration in a refractory case of COVID-19.
Vacina BCG	A shred of evidence that BCG vaccine may protect against COVID-19: Comparing cohorts in Spain and Italy.
Tocilizumabe	Tocilizumab is associated with reduced risk of ICU admission and mortality in patients with SARS-CoV-2 infection.
Vacina BCG	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Vacina BCG	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Vacina influenza	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Vacina influenza	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Vacina pneumocócica	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Vacina pneumocócica	Association of Bacille Calmette-Guérin (BCG), Adult Pneumococcal and Adult Seasonal Influenza Vaccines with Covid-19 Adjusted Mortality Rates in Level 4 European countries.
Ozonioterapia	Ozone therapy for patients with SARS-COV-2 pneumonia: a single-center prospective cohort study.
Antibióticos	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Azitromicina	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Cloroquina	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Cobicistato	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Darunavir	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Enoxaparina	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Hidroxicloroquina	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Lopinavir	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Prednisona	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Remdesivir	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Ribavirina	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Ritonavir	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Tocilizumabe	Clinical Management of Adult Coronavirus Infection Disease 2019 (COVID-19) Positive in the Setting of Low and Medium Intensity of Care: a Short Practical Review.
Azitromicina	A case report of serious haemolysis in a glucose-6-phosphate dehydrogenase-deficient COVID-19 patient receiving hydroxychloroquine.
Hidroxicloroquina	A case report of serious haemolysis in a glucose-6-phosphate dehydrogenase-deficient COVID-19 patient receiving hydroxychloroquine.
Ácido ascórbico	Anticardiolipin antibodies and COVID-19 - A Case Report from America.
Azitromicina	Anticardiolipin antibodies and COVID-19 - A Case Report from America.
Ceftriaxona	Anticardiolipin antibodies and COVID-19 - A Case Report from America.
Enoxaparina	Anticardiolipin antibodies and COVID-19 - A Case Report from America.
Hidroxicloroquina	Anticardiolipin antibodies and COVID-19 - A Case Report from America.
Canaquinumabe	Canakinumab in subgroup of patients with COVID-19.
Tocilizumabe	Combination of thrombolytic and immunosuppressive therapy for coronavirus disease 2019: A case report.
Prednisona	Thalidomide combined with low-dose short-term glucocorticoid in the treatment of critical Coronavirus Disease 2019.
Talidomida	Thalidomide combined with low-dose short-term glucocorticoid in the treatment of critical Coronavirus Disease 2019.
Hidroxicloroquina	HyPE study: hydroxychloroquine prophylaxis-related adverse events' analysis among healthcare workers during COVID-19 pandemic: a rising public health concern
Antagonistas do Receptor da Angiotensina II	Association of hypertension and antihypertensive treatment with COVID-19 mortality: a retrospective observational study.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association of hypertension and antihypertensive treatment with COVID-19 mortality: a retrospective observational study.
Lopinavir	Viral kinetics and factors associated with rapid viral clearance during lopinavir/ritonavir-based combination therapy in non-severe COVID-19 patients.
Ritonavir	Viral kinetics and factors associated with rapid viral clearance during lopinavir/ritonavir-based combination therapy in non-severe COVID-19 patients.
Azitromicina	Early treatment of COVID-19 patients with hydroxychloroquine and azithromycin: A retrospective analysis of 1061 cases in Marseille, France.
Hidroxicloroquina	Early treatment of COVID-19 patients with hydroxychloroquine and azithromycin: A retrospective analysis of 1061 cases in Marseille, France.
Cloroquina	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Favipiravir	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Hidroxicloroquina	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Interferon	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Lopinavir	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Ribavirina	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Ritonavir	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Umifenovir	Efficacy and safety of antiviral treatment for COVID-19 from evidence in studies of SARSCoV-2 and other acute viral infections: a systematic review and meta-analysis.
Tocilizumabe	Treat 2019 novel coronavirus (COVID-19) with IL-6 inhibitor: Are we already that far?
Ivermectina	USO DE IVERMECTINA PARA EL TRATAMIENTO DE PACIENTES ADULTOS CON COVID-19
Corticosteroides	Clinical characteristics and therapeutic procedure for a critical case of novel coronavirus pneumonia treated with glucocorticoids and non-invasive ventilator treatment.
Favipiravir	Convalescent (immune) plasma treatment in a myelodysplastic COVID-19 patient with disseminated tuberculosis.
Plasma convalescente	Convalescent (immune) plasma treatment in a myelodysplastic COVID-19 patient with disseminated tuberculosis.
Tocilizumabe	Convalescent (immune) plasma treatment in a myelodysplastic COVID-19 patient with disseminated tuberculosis.
Plasma convalescente	The use of convalescent plasma therapy and remdesivir in the successful management of a critically ill obstetric patient with novel coronavirus 2019 infection: A case report.
Remdesivir	The use of convalescent plasma therapy and remdesivir in the successful management of a critically ill obstetric patient with novel coronavirus 2019 infection: A case report.
Remdesivir	Remdesivir and Tocilizumab: Mix or Match.
Tocilizumabe	Remdesivir and Tocilizumab: Mix or Match.
Interferon	Lopinavir/ritonavir and interferon combination therapy may help shorten the duration of viral shedding in patients with COVID-19: a retrospective study in two designated hospitals in Anhui, China.
Lopinavir	Lopinavir/ritonavir and interferon combination therapy may help shorten the duration of viral shedding in patients with COVID-19: a retrospective study in two designated hospitals in Anhui, China.
Ritonavir	Lopinavir/ritonavir and interferon combination therapy may help shorten the duration of viral shedding in patients with COVID-19: a retrospective study in two designated hospitals in Anhui, China.
Interferon	COVID-19 patients benefit from early antiviral treatment: a comparative, retrospective study.
Oseltamivir	COVID-19 patients benefit from early antiviral treatment: a comparative, retrospective study.
Ribavirina	COVID-19 patients benefit from early antiviral treatment: a comparative, retrospective study.
Umifenovir	COVID-19 patients benefit from early antiviral treatment: a comparative, retrospective study.
